# Data columns are: <z>, fit,   r < 23.0
  1.4549e-02   1.3689e-02
  3.8057e-02   8.3377e-02
  5.7961e-02   1.7526e-01
  8.0767e-02   3.0402e-01
  1.0447e-01   4.5239e-01
  1.2602e-01   5.9168e-01
  1.4748e-01   7.2876e-01
  1.7027e-01   8.6784e-01
  1.9251e-01   9.9378e-01
  2.1623e-01   1.1150e+00
  2.3935e-01   1.2185e+00
  2.6159e-01   1.3039e+00
  2.8554e-01   1.3800e+00
  3.0606e-01   1.4324e+00
  3.2972e-01   1.4789e+00
  3.5257e-01   1.5102e+00
  3.7544e-01   1.5293e+00
  3.9773e-01   1.5371e+00
  4.2087e-01   1.5351e+00
  4.4364e-01   1.5240e+00
  4.6575e-01   1.5057e+00
  4.8793e-01   1.4808e+00
  5.1106e-01   1.4489e+00
  5.3457e-01   1.4112e+00
  5.5752e-01   1.3702e+00
  5.7938e-01   1.3281e+00
  6.0210e-01   1.2819e+00
  6.2493e-01   1.2335e+00
  6.4747e-01   1.1844e+00
  6.7096e-01   1.1323e+00
  6.9327e-01   1.0826e+00
  7.1563e-01   1.0328e+00
  7.3790e-01   9.8352e-01
  7.6177e-01   9.3145e-01
  7.8438e-01   8.8308e-01
  8.0686e-01   8.3609e-01
  8.3003e-01   7.8898e-01
  8.5173e-01   7.4623e-01
  8.7552e-01   7.0096e-01
  8.9749e-01   6.6073e-01
  9.2078e-01   6.1979e-01
  9.4327e-01   5.8196e-01
  9.6591e-01   5.4558e-01
  9.8793e-01   5.1184e-01
