'1.0.0' :
10066 : 17253936
10067 : 17215309
10068 : 17022681
10069 : 17303875
10070 : 17265790
10071 : 17245480
10072 : 17140864
10073 : 17273345
10074 : 17212833
10193 : 17192279
10194 : 17247697
10195 : 17224342
10196 : 17244201
10197 : 17331532
10198 : 17238399
10199 : 17332781
10200 : 17272070
10201 : 17274513
10202 : 17301265
10321 : 17244813
10322 : 17189245
10323 : 17362538
10324 : 17295113
10325 : 17266632
10326 : 17370139
10327 : 17211566
10328 : 17235196
10329 : 17300607
10444 : 17257992
10445 : 17164943
10446 : 17360512
10447 : 17286922
10448 : 17262906
10449 : 17272871
10450 : 17225090
10451 : 17232961
10452 : 17252264
8786 : 17228154
8787 : 17225828
8788 : 17146224
8789 : 17098871
8790 : 17153793
8791 : 17420771
8792 : 17354481
8793 : 17389087
8794 : 17243461
8913 : 17183787
8914 : 17227443
8915 : 17202809
8916 : 17266498
8917 : 17156551
8918 : 17206006
8919 : 17327066
8920 : 17299194
8921 : 17310221
9042 : 17190813
9043 : 17155666
9044 : 17215108
9045 : 17165930
9046 : 17183081
9047 : 17162298
9048 : 17316211
9049 : 17341642
9050 : 17252228
9169 : 17072823
9170 : 17239404
9171 : 17182737
9172 : 17196373
9173 : 17227049
9174 : 17229251
9175 : 17228939
9176 : 17254250
9177 : 17348919
9178 : 17348537
9298 : 17185304
9299 : 17177974
9300 : 17080601
9301 : 17125483
9302 : 17169611
9303 : 17153838
9304 : 17165889
9305 : 17317515
9306 : 17319081
9425 : 17220505
9426 : 17231075
9427 : 17215072
9428 : 17080139
9429 : 17217253
9430 : 17220233
9431 : 17181367
9432 : 17283351
9433 : 17335481
9434 : 17244522
9554 : 17228275
9555 : 17104030
9556 : 17104963
9557 : 17027032
9558 : 17286461
9559 : 17233964
9560 : 17252674
9561 : 17238426
9562 : 17258999
9681 : 17299082
9682 : 17178055
9683 : 17083323
9684 : 17081354
9685 : 17090202
9686 : 17185920
9687 : 17168946
9688 : 17190893
9689 : 17173849
9690 : 17322519
9810 : 17187038
9811 : 17117381
9812 : 17048619
9813 : 17130899
9814 : 17316876
9815 : 17204892
9816 : 17245117
9817 : 17252201
9818 : 17290736
9937 : 17262782
9938 : 17246821
9939 : 17073035
9940 : 17143382
9941 : 17248993
9942 : 17279892
9943 : 17137080
9944 : 17280760
9945 : 17257235
9946 : 17419222
